scenario,estimate_index,now_us,fsm_state,tg_us,W_sec,S_sec,tau_hat_sec,m1_hat,m2_hat,m3_hat,Y_hat,sigma_Y,has_significance,is_low_rate,is_degraded,is_stats_bound,insufficient_statistics,model_mismatch,debug_event_count,debug_bins_with_counts
stable_high_rate,30,8000300,Warmup,500,2,0.2,0.0009350131017737087,2.47925,6.1080000000000005,15.021,-0.015601719269940043,0.02225524539920599,False,False,False,False,True,False,9918,8771
stable_low_rate,0,2086450,Warmup,500,2,0.2,0.00027955874770974184,0.01025,0,0,-0.01025,0.0015957404977345044,False,False,False,False,True,False,42,42
stable_low_rate,1,2286450,Warmup,500,2,0.2,0.00034187225351249784,0.01,0,0,-0.01,0.0015765848866224048,False,False,False,False,True,False,41,41
stable_low_rate,2,2486450,Warmup,500,2,0.2,0.00027955874770974184,0.009000000000000001,0,0,-0.009000000000000001,0.0014975494168495973,False,False,False,False,True,False,37,37
stable_low_rate,3,2686450,Warmup,500,2,0.2,0.00027955874770974184,0.010750000000000001,0,0,-0.010750000000000001,0.0016333794781588922,False,False,False,False,True,False,44,44
stable_low_rate,4,2886450,Warmup,500,2,0.2,0.000125,0.01125,0.0005,0,0.03319444444444445,0.04275170714303589,False,False,False,False,True,False,46,46
stable_low_rate,5,3086450,Warmup,500,2,0.2,0.00571919114303894,0.0115,0.0005,0,0.03197826086956522,0.04185068748072491,False,False,False,False,True,False,47,47
stable_low_rate,6,3286450,Warmup,500,2,0.2,0.000125,0.012750000000000001,0.0005,0,0.0264656862745098,0.03786009895120841,False,False,False,False,True,False,52,52
stable_low_rate,7,3486450,Warmup,500,2,0.2,0.004676746642740237,0.0135,0.0005,0,0.023537037037037037,0.03581093339943588,False,False,False,False,True,False,55,55
stable_low_rate,8,3686450,Warmup,500,2,0.2,0.000125,0.0135,0.0005,0,0.023537037037037037,0.03581093339943588,False,False,False,False,True,False,55,55
stable_low_rate,9,3886450,Warmup,500,2,0.2,0.000125,0.013000000000000001,0.0005,0,0.025461538461538456,0.03715148792593435,False,False,False,False,True,False,53,53
stable_low_rate,10,4086450,Warmup,500,2,0.2,0.000125,0.0135,0.0005,0,0.023537037037037037,0.03581093339943588,False,False,False,False,True,False,55,55
stable_low_rate,11,4286450,Warmup,500,2,0.2,0.002091128734592475,0.01425,0.0005,0,0.020837719298245613,0.0339722026734347,False,False,False,False,True,False,58,58
stable_low_rate,12,4486450,Warmup,500,2,0.2,0.001709975946676698,0.014750000000000001,0.0005,0,0.01914830508474576,0.03284790084970532,False,False,False,False,True,False,60,60
stable_low_rate,13,4686450,Warmup,500,2,0.2,0.000125,0.01225,0.0005,0,0.02856632653061224,0.03936153893927063,False,False,False,False,True,False,50,50
stable_low_rate,14,4886450,Warmup,500,2,0.2,0.00027955874770974184,0.0125,0,0,-0.012500000000000002,0.0017587240196501337,False,False,False,False,True,False,51,51
stable_low_rate,15,5086450,Warmup,500,2,0.2,0.00027955874770974184,0.01225,0,0,-0.012250000000000002,0.0017413804007879393,False,False,False,False,True,False,50,50
stable_low_rate,16,5286450,Warmup,500,2,0.2,0.00034187225351249784,0.01175,0,0,-0.01175,0.0017061519272911674,False,False,False,False,True,False,48,48
stable_low_rate,17,5486450,Warmup,500,2,0.2,0.00034187225351249784,0.01125,0,0,-0.01125,0.001670166757619976,False,False,False,False,True,False,46,46
stable_low_rate,18,5686450,Warmup,500,2,0.2,0.00034187225351249784,0.0115,0,0,-0.0115,0.001688256674416979,False,False,False,False,True,False,47,47
stable_low_rate,19,5886450,Warmup,500,2,0.2,0.00034187225351249784,0.012,0,0,-0.012,0.0017238580654278845,False,False,False,False,True,False,49,49
stable_low_rate,20,6086450,Warmup,500,2,0.2,0.00027955874770974184,0.013000000000000001,0,0,-0.013000000000000003,0.0017928943911446158,False,False,False,False,True,False,53,53
stable_low_rate,21,6286450,Warmup,500,2,0.2,0.00027955874770974184,0.013000000000000001,0,0,-0.013000000000000003,0.0017928943911446158,False,False,False,False,True,False,53,53
stable_low_rate,22,6486450,Warmup,500,2,0.2,0.00034187225351249784,0.01325,0,0,-0.01325,0.001809730286230247,False,False,False,False,True,False,54,54
stable_low_rate,23,6686450,Warmup,500,2,0.2,0.00034187225351249784,0.0145,0,0,-0.0145,0.0018915834835598845,False,False,False,False,True,False,59,59
stable_low_rate,24,6886450,Warmup,500,2,0.2,0.00027955874770974184,0.0135,0,0,-0.0135,0.0018264057698022121,False,False,False,False,True,False,55,55
stable_low_rate,25,7086450,Warmup,500,2,0.2,0.00034187225351249784,0.0145,0,0,-0.0145,0.0018915834835598845,False,False,False,False,True,False,59,59
stable_low_rate,26,7286450,Warmup,500,2,0.2,0.00034187225351249784,0.0145,0,0,-0.0145,0.0018915834835598845,False,False,False,False,True,False,59,59
stable_low_rate,27,7486450,Warmup,500,2,0.2,0.00034187225351249784,0.015,0,0,-0.015,0.0019233094168285946,False,False,False,False,True,False,61,61
stable_low_rate,28,7686450,Warmup,500,2,0.2,0.00034187225351249784,0.01425,0,0,-0.01425,0.0018755100960310086,False,False,False,False,True,False,58,58
stable_low_rate,29,7886450,Warmup,500,2,0.2,0.00034187225351249784,0.01325,0,0,-0.01325,0.001809730286230247,False,False,False,False,True,False,54,54
stable_low_rate,30,8086450,Warmup,500,2,0.2,0.00034187225351249784,0.01175,0,0,-0.01175,0.0017061519272911674,False,False,False,False,True,False,48,48
stable_low_rate,31,8286450,Warmup,500,2,0.2,0.00034187225351249784,0.01125,0,0,-0.01125,0.001670166757619976,False,False,False,False,True,False,46,46
stable_low_rate,32,8486450,Warmup,500,2,0.2,0.00034187225351249784,0.010750000000000001,0,0,-0.010750000000000001,0.0016333794781588922,False,False,False,False,True,False,44,44
stable_low_rate,33,8686450,Warmup,500,2,0.2,0.00034187225351249784,0.00975,0,0,-0.00975,0.0015571956699864833,False,False,False,False,True,False,40,40
stable_low_rate,34,8886450,Warmup,500,2,0.2,0.00034187225351249784,0.01,0,0,-0.01,0.0015765848866224048,False,False,False,False,True,False,41,41
stable_low_rate,35,9086450,Warmup,500,2,0.2,0.00034187225351249784,0.00925,0,0,-0.00925,0.001517685955200419,False,False,False,False,True,False,38,38
stable_low_rate,36,9286450,Warmup,500,2,0.2,0.00034187225351249784,0.010750000000000001,0,0,-0.010750000000000001,0.0016333794781588922,False,False,False,False,True,False,44,44
stable_low_rate,37,9486450,Warmup,500,2,0.2,0.00027955874770974184,0.0105,0,0,-0.0105,0.001614669723671073,False,False,False,False,True,False,43,43
stable_low_rate,38,9686450,Warmup,500,2,0.2,0.00027955874770974184,0.011,0,0,-0.011,0.0016518763786484748,False,False,False,False,True,False,45,45
stable_low_rate,39,9886450,Warmup,500,2,0.2,0.0002286032066600048,0.011,0,0,-0.011,0.0016518763786484748,False,False,False,False,True,False,45,45
stable_low_rate,40,10086450,Warmup,500,2,0.2,0.0002286032066600048,0.012,0,0,-0.012,0.0017238580654278845,False,False,False,False,True,False,49,49
stable_low_rate,41,10286450,Warmup,500,2,0.2,0.0002286032066600048,0.01175,0,0,-0.01175,0.0017061519272911674,False,False,False,False,True,False,48,48
stable_low_rate,42,10486450,Warmup,500,2,0.2,0.0002286032066600048,0.012,0,0,-0.012,0.0017238580654278845,False,False,False,False,True,False,49,49
stable_low_rate,43,10686450,Warmup,500,2,0.2,0.0002286032066600048,0.013000000000000001,0,0,-0.013000000000000003,0.0017928943911446158,False,False,False,False,True,False,53,53
stable_low_rate,44,10886450,Warmup,500,2,0.2,0.0002286032066600048,0.014750000000000001,0,0,-0.014750000000000001,0.001907515467780102,False,False,False,False,True,False,60,60
stable_low_rate,45,11086450,Warmup,500,2,0.2,0.0002286032066600048,0.01625,0,0,-0.01625,0.002000317906780071,False,False,False,False,True,False,66,66
stable_low_rate,46,11286450,Warmup,500,2,0.2,0.0002286032066600048,0.0155,0,0,-0.0155,0.0019544960485438504,False,False,False,False,True,False,63,63
stable_low_rate,47,11486450,Warmup,500,2,0.2,0.0002286032066600048,0.0145,0,0,-0.0145,0.0018915834835598845,False,False,False,False,True,False,59,59
